user_id	incident_id	coworker_empathetic_msg	context_pers	context_behv	_id
system	1	Hey there! Remember, the customer’s frustration is due to the inconvenience they’re facing; it’s not directed at you personally. Your role is to stay calm and professional, and focus on resolving their issue to enhance their experience. You’ve got this!			0
system	1	Remember, the customer's frustration is with the situation, not with you personally. Stay composed, work methodically, and keep them informed throughout the process. Managing your expectations and maintaining excellent service will help ease their frustration.	They are organized and dependable. They tend to remain composed when facing challenges, but are prone to setting unrealistic expectations.		1
system	1	Hey, remember that the customer's frustration is due to the poor phone signal, not a personal attack on you. Address their concerns promptly to show that you're here to help and that we value their business by taking their complaints seriously.	They are outgoing, competitive, and high energy. They tend to work on impulse, but are also prone to frustration.		2
system	1	Hey, remember — the customer's frustration is about the situation, not you. Your careful and dependable approach ensures you can help them accurately and thoroughly. Just stay calm, gather the necessary info, and keep them updated step-by-step; focus on the task and maintain your high standards.	They are detail-oriented and reliable but might appear distant. They tend to work carefully, but are prone to overthinking.		3
system	1	Hey, remember that this customer’s impatience is about the poor signal quality, not you personally. You've already managed complaints well today, so use your skills to turn this into a positive experience by staying calm and resolving their issue efficiently. You’ve got this!		The conversation takes place about 2 hours into the work shift. The representative has already addressed a few customer complaints before the following incident.	4
system	1	Hey, I know you're tired from the long hours and lack of breaks, but channel that exhaustion into showcasing your professionalism. The customer's frustration highlights the importance of this issue to them, so stay calm and use this as an opportunity to assist them quickly and effectively. You've got this!		The conversation takes place in the second half of the work shift. The representative has been working longer hours over the past few days and has not been taking breaks.	5
system	1	Hey, I know the customer's frustration over their poor phone signal can be a lot to handle, but you have the skills to help them efficiently. Just concentrate on resolving their issue now and use this experience to improve your time management and prioritization in the future. You've got this!		The conversation takes place at the middle of the work shift. The representative has been spending minimal time on tasks and has been regularly checking their personal messages.	6
system	2	Hey there, remember that the customer's frustration stems from the delays and inconvenience they've faced. Their comments aren't personal attacks on you, so stay calm and empathetic. This is your chance to shine by listening actively, acknowledging their frustration, and working hard to resolve their issue.			7
system	2	You're right to empathize with the customer’s frustration. Stay calm and focus on resolving the issue—you're organized and dependable, which will help you manage it effectively. Review the customer’s details thoroughly to expedite a solution, and remember that your primary goal is to provide the best service despite any setbacks.	They are organized and dependable. They tend to remain composed when facing challenges, but are prone to setting unrealistic expectations.		8
system	2	You’re doing great by recognizing that the customer’s frustrations are about their unresolved issue, not a personal attack on you. Your drive to solve issues quickly is a strength—use it to find the best solution swiftly. Keep approaching with empathy and clear communication to make sure the customer feels heard and their issue gets resolved.	They are outgoing, competitive, and high energy. They tend to work on impulse, but are also prone to frustration.		9
system	2	Remember, it's important to empathize with the customer's frustration and acknowledge that this issue has persisted for them. Focus on the process, not your competency—thoroughly review their case and provide clear, detailed information to guide them towards a resolution. Your dedication to resolving their issue will help improve their experience moving forward.	They are detail-oriented and reliable but might appear distant. They tend to work carefully, but are prone to overthinking.		10
system	2	Hey, remember that the customer is frustrated with the situation, not with you. Stay calm and patient, and focus on providing clear and efficient assistance. This way, you can turn a tough interaction into a positive experience and showcase your professionalism.		The conversation takes place about 2 hours into the work shift. The representative has already addressed a few customer complaints before the following incident.	11
system	2	Hey, I know it's been a challenging week and you're feeling drained, but remember, the customer's frustration is about the issue, not your skills. Focus on resolving their problem efficiently and you'll likely see their tone improve. Take a few deep breaths and stay calm—you've got this!		The conversation takes place in the second half of the work shift. The representative has been working longer hours over the past few days and has not been taking breaks.	12
system	2	Hey, I know you're feeling overwhelmed, but remember this customer's rudeness is just their frustration speaking. Take a deep breath, acknowledge their feelings, and focus on solving their problem with professionalism and empathy—this will help calm the situation down.		The conversation takes place at the middle of the work shift. The representative has been spending minimal time on tasks and has been regularly checking their personal messages.	13
system	3	Hey, remember that the customer's frustration is about the dropped calls and lost service, not your skills. Stay calm, show empathy, and concentrate on resolving the issue—they're not attacking you personally. Assure them that you're dedicated to helping and will fix the problem as soon as possible.			14
system	3	Hey there! Remember to stay calm and organized, just like you always do. Recognize that the customer's frustration stems from unrealistic expectations, and see this as a chance to demonstrate your ability to manage tough situations. Take it step-by-step, and you'll resolve their issue effectively and improve their experience. You've got this!	They are organized and dependable. They tend to remain composed when facing challenges, but are prone to setting unrealistic expectations.		15
system	3	Hey there! Remember, the customer’s frustration is normal, and you’ve got the high energy and problem-solving skills to tackle their concerns quickly. Stay calm, keep the focus on finding a solution, and show them just how capable and dedicated you are to resolving their issue. You’ve got this!	They are outgoing, competitive, and high energy. They tend to work on impulse, but are also prone to frustration.		16
system	3	Hey, remember to recognize that the customer's frustration isn't about your skills. Trust in your detailed and reliable approach to identifying the problem, and use your calm demeanor to work through it step-by-step. Clear communication will make sure their concerns are addressed and help de-escalate the situation.	They are detail-oriented and reliable but might appear distant. They tend to work carefully, but are prone to overthinking.		17
system	3	Hey, remember the customer's frustration isn't directed at you personally, but at the situation. You've already handled several complaints well today, proving you're capable. Take this as a chance to practice patience and empathy and, if needed, escalate the issue to get it resolved.		The conversation takes place about 2 hours into the work shift. The representative has already addressed a few customer complaints before the following incident.	18
system	3	Hey, remember that the customer's frustration is about the service, not you personally. Stay calm and focus on resolving their issue; your effort can really turn things around for them. Once this is handled, make sure to take that well-deserved break and recharge!		The conversation takes place in the second half of the work shift. The representative has been working longer hours over the past few days and has not been taking breaks.	19
system	3	Hey, remember the customer is frustrated with their phone issues, not you. Focus on resolving their problem quickly and stay calm and professional. Guide them through troubleshooting or collect the info needed to escalate efficiently.		The conversation takes place at the middle of the work shift. The representative has been spending minimal time on tasks and has been regularly checking their personal messages.	20
