ID	Category	Domain	Initial Complaint	Support Agent Response 1	Follow-up Complaint 1	Support Agent Response 2	Follow-up Complaint 2
1	Service Quality	mobile-device	        TMobileHelp Why does my phone always have such terrible signal Im paying for a service that doesnt even work half the time.	I'm sorry to hear about the signal issues you're experiencing. Please send me your ZIP code and the make and model of your phone so I can check for any network issues in your area and provide further assistance.	My ZIP code is 90210 and my phone is a Samsung Galaxy S21. Hurry up and fix this garbage service.	Thank you for providing the details. I'll check for any network issues in your area and get back to you with a solution as quickly as possible.	You better be quick. I don't have all day to wait around for your slow service.
2	Service Quality	mobile-device	SamsungSupport I have been trying to contact customer service for days and have been put on hold for hours with no resolution. This is the worst customer service experience I have ever had with a mobile-device company.	"I sincerely apologize for the inconvenience you've experienced. Please provide your contact details and issue, and I will ensure a representative reaches out to you promptly to resolve this matter."	"Ugh, I've already told you guys my contact details a million times. My phone's screen is cracked. Do something about it!"	"I apologize for the repeated requests. Please provide your order number or any reference number you have, and I'll expedite the process to get your screen repaired."	Are you kidding me? Do you people even read? It's 123456. Now hurry up!
3	Service Quality	mobile-device	ATT why does my phone keep dropping calls and losing service This is ridiculous and unacceptable.	"I'm sorry to hear about the issues you're experiencing with dropped calls and service interruptions. Please try restarting your phone and checking for any available software updates; if the problem persists, we can further troubleshoot or check for any network outages in your area."	Are you serious? I already did all that and it still doesn't work. What kind of useless service are you running here?	I apologize for the frustration this has caused. Let's take a closer look at your account and see if there are any specific issues affecting your service.	"Fine, whatever. Just fix it already. My account number is 123456789."
4	Product Issues	mobile-device	MicrosoftSupport My phone keeps randomly shutting off and I've only had it for a month. Completely unacceptable and frustrating.	"I'm sorry to hear about the issues with your phone. Please try performing a soft reset and ensure your software is up to date; if the problem persists, we can explore further troubleshooting or replacement options."	I'm not some tech genius. Just fix it or replace it. Why should I have to deal with this garbage?	"I understand your frustration. Please provide your order number and contact details, and I'll arrange for a replacement or further assistance immediately."	"Fine, it's order #123456 and my email is idiotcustomer@example.com. Now hurry up and fix this mess."
5	Product Issues	mobile-device	ATT Why does my phone constantly drop calls and have slow data speeds even though I am in a major city? This is unacceptable for a premium service.	"I apologize for the inconvenience you're experiencing. Please try restarting your phone and checking for any available software updates; if the issue persists, we can further investigate your location's network coverage and performance."	Restarting my phone isn't going to magically fix your terrible service. Do you seriously think I haven't tried that already? Just fix the damn issue.	I apologize for the frustration. Let's check your account and network settings to identify and resolve the issue promptly.	"Fine, whatever. Just do it quickly. My account number is 12345678."
6	Product Issues	mobile-device	 AppleSupport My phone battery drains so quickly and I keep getting pop-up ads even though I have ad blocker on. Can you please fix these issues?	"I'm sorry to hear about the issues you're experiencing. Please try updating your phone's software and resetting your ad blocker settings; if the problems persist, we can explore further troubleshooting steps."	"Are you serious? You think I haven’t tried that already? I need real help, not useless advice."	I apologize for the frustration. Let's try running a full malware scan and checking for any rogue apps that might be causing these issues.	Why do I have to do everything myself? Isn’t it your job to fix this crap?
7	Pricing and Charges	mobile-device	AppleSupport I just received my monthly bill and noticed that I was charged for an international call that I did not make. Please fix this immediately.	I'm sorry for the inconvenience. I'll review your account and ensure the incorrect charge is removed promptly.	You better be sorry. This is ridiculous! Hurry up and fix it.	I apologize for the frustration. I'll review your account right away and ensure the incorrect charge is removed promptly.	"Yeah, yeah, just get on with it. No more excuses."
8	Pricing and Charges	mobile-device	 Thank you AT&T for charging me for data usage when I had unlimited data included in my plan. This is unacceptable and I demand a refund.	I apologize for the inconvenience you've experienced. Please allow me to review your account details and ensure that any incorrect charges are refunded promptly.	"Yeah, whatever. Just get it done quickly and stop wasting my time."	I understand your frustration and will expedite the review of your account to resolve this issue as quickly as possible. Thank you for your patience.	Frustration doesn't even cover it. Just hurry up and fix your mess.
9	Pricing and Charges	mobile-device	                ATT why am I being charged $10 more every month for my phone bill without any explanation or notification This is unacceptable.	I apologize for the unexpected charges on your bill. Let me review your account to identify the reason for the increase and ensure we resolve this issue promptly.	Hurry up and check then. I don't have all day to deal with your incompetence.	I understand your frustration and appreciate your patience. I am currently reviewing your account and will provide you with an update shortly.	Can you stop repeating yourself and just get it done already? This is ridiculous.
10	Policy	mobile-device	 Are you kidding me Apple Your latest update has completely messed up my phone and I can't even use it now. This is unacceptable and I demand a fix or compensation.	"I'm really sorry to hear about the issues you're experiencing with the latest update. Please try restarting your phone and if the problem persists, I can guide you through some troubleshooting steps or help you schedule a visit to the nearest Apple Store for further assistance."	Are you even listening? I already tried restarting it. Your update is trash and now my phone is trash. What are you going to do about it?	"I apologize for the frustration this has caused. Let's try some advanced troubleshooting steps together, or I can help you schedule an appointment at the nearest service center for a more in-depth solution."	I don't have time for your useless troubleshooting steps. Just schedule the damn appointment already.
11	Policy	mobile-device	AppleSupport My phone was fine until I updated and now I can't use my bluetooth headphones without buying an adapter This is ridiculous and a blatant money grab by Apple.	"I'm sorry to hear about the inconvenience you're experiencing. Please try resetting your Bluetooth settings by going to Settings > Bluetooth, turning it off and on again, and if the issue persists, we can explore other troubleshooting steps."	"I already did that, genius. It didn't work. What's next on your useless list of suggestions?"	"I apologize for the frustration. Let's try forgetting the Bluetooth device and pairing it again: go to Settings > Bluetooth, tap the ""i"" next to your headphones, select ""Forget This Device,"" and then reconnect."	Are you kidding me? I just said I tried everything. Stop wasting my time and give me a real solution!
12	Policy	mobile-device	 I can't believe AppleSupport is trying to charge me for an issue that is clearly a defect with their device. This is unacceptable and I expect a refund.	I'm sorry to hear about your experience. Please provide me with your device details and the issue you're facing so I can assist you further.	I already told you. It's an iPhone 13 and the battery drains like crazy. Fix it or give me my money back.	I apologize for the inconvenience. Let's start by troubleshooting the issue; please ensure your iPhone is updated to the latest iOS version and check for any apps that may be consuming excessive battery.	Are you even listening? I don't need troubleshooting tips. I need a refund or a replacement. Get someone who can actually help.
13	Resolution	mobile-device	 verizon i have been trying to get ahold of someone for days now and still nothing This is unacceptable and I need help now.	"I apologize for the inconvenience you've experienced. Please provide me with the details of your issue, and I'll assist you right away."	"My internet is constantly dropping, and I'm paying a fortune for this garbage service. Fix it immediately!"	I'm really sorry for the trouble you're experiencing. Let's get this resolved—could you please provide your account number and any error messages you've seen?	"How many times do I have to repeat myself? My account number is 12345678, and there are no error messages, just constant drops."
14	Resolution	mobile-device	"T-MobileHelp I've been trying to reach customer service for over an hour now and keep getting disconnected. This is unacceptable, please fix your system."	"I apologize for the inconvenience you've experienced. Please provide your contact details, and I'll ensure a representative reaches out to you as soon as possible."	Are you kidding me? I already gave my details a million times. Just fix the damn issue already!	I apologize for the repeated requests. I'll look into your issue immediately using the information we have on file.	You better do it fast. I've wasted enough time on this already.
15	Resolution	mobile-device	I am extremely disappointed with the battery life on my new iPhone 12. I have to constantly charge it throughout the day and it's not even lasting a full day. This is unacceptable and I expect a resolution from AppleSupport.	"I'm sorry to hear about the battery issues with your iPhone 12. Please try updating to the latest iOS version and adjusting your settings for optimal battery performance; if the problem persists, we can explore further troubleshooting or a potential replacement."	"I've already tried updating the iOS and messing with the settings. It didn't help one bit. I need a real solution, not these useless suggestions."	"I apologize for the inconvenience. Let's run a diagnostic on your device to identify any underlying issues, and if necessary, we can discuss repair or replacement options."	Why do I need to do all this nonsense? Just replace the damn phone already. I'm sick of dealing with this.
16	Service Quality	hotel	MarriottIntl The service at this hotel has been absolutely abysmal The staff is rude and unresponsive and I will never stay here again.	I'm truly sorry to hear about your experience. Please provide us with more details so we can address this issue and improve our service.	"The room was filthy, the bathroom smelled like a sewer, and the so-called ""continental breakfast"" was a joke. Do you even care about your guests?"	"I'm very sorry to hear about your experience. We do care deeply about our guests, and I will ensure your feedback is shared with the management team to address these issues immediately."	"Yeah, right. Like I haven't heard that before. What are you actually going to do about it?"
